order_id,warehouse,carrier,city,product_category,order_date,promised_date,delivery_date,status
1001,WH-101,DHL,Jaipur,Electronics,2026-08-01,2026-08-04,2026-08-04,DELIVERED
1002,WH-102,FedEx,Delhi,Clothing,2026-08-01,2026-08-05,2026-08-06,LATE
1003,WH-101,BlueDart,Ajmer,Home,2026-08-01,2026-08-05,2026-08-05,DELIVERED
1004,WH-103,DHL,Jodhpur,Electronics,2026-08-02,2026-08-05,2026-08-07,LATE
1005,WH-102,BlueDart,Delhi,Beauty,2026-08-02,2026-08-06,2026-08-06,DELIVERED
1006,WH-101,FedEx,Jaipur,Clothing,2026-08-02,2026-08-06,2026-08-09,LATE
1007,WH-103,DHL,Kota,Home,2026-08-03,2026-08-06,2026-08-06,DELIVERED
1008,WH-102,FedEx,Delhi,Electronics,2026-08-03,2026-08-07,2026-08-09,LATE
1009,WH-101,BlueDart,Ajmer,Beauty,2026-08-03,2026-08-07,2026-08-07,DELIVERED
1010,WH-103,DHL,Jodhpur,Clothing,2026-08-04,2026-08-08,2026-08-08,DELIVERED
1011,WH-102,FedEx,Delhi,Home,2026-08-04,2026-08-08,2026-08-10,LATE
1012,WH-101,DHL,Jaipur,Electronics,2026-08-04,2026-08-07,2026-08-07,DELIVERED
1013,WH-103,BlueDart,Kota,Beauty,2026-08-05,2026-08-09,2026-08-12,LATE
1014,WH-102,DHL,Delhi,Clothing,2026-08-05,2026-08-09,2026-08-09,DELIVERED
1015,WH-101,FedEx,Jaipur,Home,2026-08-05,2026-08-09,2026-08-09,DELIVERED
1016,WH-103,DHL,Jodhpur,Electronics,2026-08-06,2026-08-10,2026-08-10,DELIVERED
1017,WH-102,BlueDart,Delhi,Clothing,2026-08-06,2026-08-10,2026-08-13,LATE
1018,WH-101,DHL,Ajmer,Beauty,2026-08-06,2026-08-10,2026-08-11,LATE
1019,WH-103,FedEx,Kota,Home,2026-08-07,2026-08-11,2026-08-11,DELIVERED
1020,WH-102,DHL,Delhi,Electronics,2026-08-07,2026-08-11,2026-08-11,DELIVERED
